1	1000	智能时光	智能时光,
1	1000	停止响闹	停止响闹,
1	2	设置	设置
2	3	时钟	时钟,
2	3	时间	时钟,
2	3	闹钟一	闹钟一,
2	3	闹钟二	闹钟二,
2	3	闹钟三	闹钟三,
3	4	凌晨	<eps>
3	4	半夜	<eps>
4	15	一点	一点,
4	1000	一点	一点
4	1000	一点整	一点
4	15	二点	两点,
4	1000	二点	两点
4	1000	二点整	两点
4	15	两点	两点,
4	1000	两点	两点
4	1000	两点整	两点
4	15	三点	三点,
4	1000	三点	三点
4	1000	三点整	三点
4	15	四点	四点,
4	1000	四点	四点
4	1000	四点整	四点
3	5	凌晨	<eps>
3	5	早上	<eps>
3	5	早晨	<eps>
5	15	五点	五点,
5	1000	五点	五点
5	1000	五点整	五点
5	15	六点	六点,
5	1000	六点	六点
5	1000	六点整	六点
3	6	清晨	<eps>
3	6	早上	<eps>
3	6	早晨	<eps>
3	6	上午	<eps>
6	15	七点	七点,
6	1000	七点	七点
6	1000	七点整	七点
6	15	八点	八点,
6	1000	八点	八点
6	1000	八点整	八点
6	15	九点	九点,
6	1000	九点	九点
6	1000	九点整	九点
3	7	上午	<eps>
7	15	十点	十点,
7	1000	十点	十点
7	1000	十点整	十点
7	15	十一点	十一点,
7	1000	十一点	十一点
7	1000	十一点整	十一点
3	8	上午	<eps>
3	8	中午	<eps>
8	15	十二点	十二点,
8	1000	十二点	十二点
8	1000	十二点整	十二点
3	9	中午	中午
3	9	下午	中午
9	15	一点	一点,
9	1000	一点	一点
9	1000	一点整	一点
9	15	二点	两点,
9	1000	二点	两点
9	1000	二点整	两点
9	15	两点	两点,
9	1000	两点	两点
9	1000	两点整	两点
3	10	下午	下午
10	15	三点	三点,
10	1000	三点	三点
10	1000	三点整	三点
10	15	四点	四点,
10	1000	四点	四点
10	1000	四点整	四点
3	11	下午	下午
3	11	傍晚	下午
11	15	五点	五点,
15	1000	五点	五点
15	1000	五点整	五点
11	15	六点	六点,
11	1000	六点	六点
11	1000	六点整	六点
3	12	下午	晚上
3	12	晚上	晚上
3	12	傍晚	晚上
12	15	七点	七点,
12	1000	七点	七点
12	1000	七点整	七点
3	13	晚上	晚上
3	13	傍晚	晚上
13	15	八点	八点,
13	1000	八点	八点
13	1000	八点整	八点
3	14	晚上	晚上
14	15	九点	九点,
14	1000	九点	九点
14	1000	九点整	九点
14	15	十点	十点,
14	1000	十点	十点
14	1000	十点整	十点
14	15	十一点	十一点,
14	1000	十一点	十一点
14	1000	十一点整	十一点
14	15	十二点	十二点,
14	1000	十二点	十二点
14	1000	十二点整	十二点
3	15	一点	一点,
3	15	二点	两点,
3	15	两点	两点,
3	15	三点	三点,
3	15	四点	四点,
3	15	五点	五点,
3	15	六点	六点,
3	15	七点	七点,
3	15	八点	八点,
